gene	KO	pathway	description
OCG05716	K01054	map00561	Glycerolipid metabolism
OCG05716	K01054	map01100	Metabolic pathways
OCG05719	K11236	map04011	MAPK signaling pathway - yeast
OCG05725	K10661	map04141	Protein processing in endoplasmic reticulum
OCG05726	K13519	map00561	Glycerolipid metabolism
OCG05726	K13519	map00564	Glycerophospholipid metabolism
OCG05726	K13519	map00565	Ether lipid metabolism
OCG05726	K13519	map01100	Metabolic pathways
OCG05726	K13519	map01110	Biosynthesis of secondary metabolites
OCG05727	K01126	map00564	Glycerophospholipid metabolism
OCG05727	K18694	map00564	Glycerophospholipid metabolism
OCG05730	K14559	map03008	Ribosome biogenesis in eukaryotes
OCG05731	K06664	map04146	Peroxisome
OCG05745	K03105	map03060	Protein export
OCG05747	K14546	map03008	Ribosome biogenesis in eukaryotes
OCG05751	K02321	map03030	DNA replication
OCG05754	K12947	map03060	Protein export
OCG05760	K01549	map00190	Oxidative phosphorylation
OCG05760	K01549	map01100	Metabolic pathways
OCG05764	K06628	map04111	Cell cycle - yeast
OCG05764	K06628	map04113	Meiosis - yeast
OCG05771	K01556	map00380	Tryptophan metabolism
OCG05771	K01556	map01100	Metabolic pathways
OCG05771	K01556	map01240	Biosynthesis of cofactors
OCG05773	K05955	map00900	Terpenoid backbone biosynthesis
OCG05773	K05955	map01110	Biosynthesis of secondary metabolites
OCG05775	K03134	map03022	Basal transcription factors
OCG05786	K12877	map03013	Nucleocytoplasmic transport
OCG05786	K12877	map03015	mRNA surveillance pathway
OCG05786	K12877	map03040	Spliceosome
OCG05793	K20179	map04138	Autophagy - yeast
OCG05796	K00062	map00053	Ascorbate and aldarate metabolism
OCG05796	K00062	map01100	Metabolic pathways
OCG05798	K03012	map03020	RNA polymerase
OCG05809	K04706	map04120	Ubiquitin mediated proteolysis
OCG05815	K12189	map04144	Endocytosis
OCG05817	K05292	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
OCG05817	K05292	map01100	Metabolic pathways
OCG05821	K10643	map03018	RNA degradation
OCG05823	K06662	map04111	Cell cycle - yeast
OCG05823	K06662	map04113	Meiosis - yeast
OCG05827	K14570	map03008	Ribosome biogenesis in eukaryotes
OCG05833	K12667	map00510	N-Glycan biosynthesis
OCG05833	K12667	map00513	Various types of N-glycan biosynthesis
OCG05833	K12667	map01100	Metabolic pathways
OCG05833	K12667	map04141	Protein processing in endoplasmic reticulum
OCG05838	K12471	map04144	Endocytosis
OCG05853	K14300	map03013	Nucleocytoplasmic transport
OCG05856	K06670	map04111	Cell cycle - yeast
OCG05858	K13335	map04146	Peroxisome
OCG05861	K10258	map00062	Fatty acid elongation
OCG05861	K10258	map01040	Biosynthesis of unsaturated fatty acids
OCG05861	K10258	map01100	Metabolic pathways
OCG05861	K10258	map01110	Biosynthesis of secondary metabolites
OCG05861	K10258	map01212	Fatty acid metabolism
OCG05865	K03538	map03008	Ribosome biogenesis in eukaryotes
OCG05866	K02963	map03010	Ribosome
OCG05874	K03357	map04111	Cell cycle - yeast
OCG05874	K03357	map04113	Meiosis - yeast
OCG05874	K03357	map04120	Ubiquitin mediated proteolysis
OCG05875	K09458	map00061	Fatty acid biosynthesis
OCG05875	K09458	map00780	Biotin metabolism
OCG05875	K09458	map01100	Metabolic pathways
OCG05875	K09458	map01212	Fatty acid metabolism
OCG05875	K09458	map01240	Biosynthesis of cofactors
OCG05877	K02144	map00190	Oxidative phosphorylation
OCG05877	K02144	map01100	Metabolic pathways
OCG05877	K02144	map04145	Phagosome
OCG05879	K10747	map03030	DNA replication
OCG05879	K10747	map03410	Base excision repair
OCG05879	K10747	map03420	Nucleotide excision repair
OCG05879	K10747	map03430	Mismatch repair
OCG05880	K19838	map04011	MAPK signaling pathway - yeast
OCG05886	K12613	map03018	RNA degradation
OCG05888	K04371	map04011	MAPK signaling pathway - yeast
OCG05888	K04371	map04111	Cell cycle - yeast
OCG05898	K10884	map03450	Non-homologous end-joining
OCG05906	K13176	map03013	Nucleocytoplasmic transport
OCG05908	K17800	map04139	Mitophagy - yeast
OCG05909	K12604	map03018	RNA degradation
OCG05911	K11427	map00310	Lysine degradation
OCG05911	K11427	map01100	Metabolic pathways
OCG05915	K14265	map00380	Tryptophan metabolism
OCG05915	K14265	map01100	Metabolic pathways
OCG05925	K03024	map03020	RNA polymerase
OCG05928	K19846	map04011	MAPK signaling pathway - yeast
OCG05930	K10882	map03440	Homologous recombination
OCG05933	K03963	map00190	Oxidative phosphorylation
OCG05933	K03963	map01100	Metabolic pathways
OCG05936	K00624	map04146	Peroxisome
OCG05937	K01867	map00970	Aminoacyl-tRNA biosynthesis
OCG05937	K02946	map03010	Ribosome
OCG05938	K00030	map00020	Citrate cycle (TCA cycle)
OCG05938	K00030	map01100	Metabolic pathways
OCG05938	K00030	map01110	Biosynthesis of secondary metabolites
OCG05938	K00030	map01200	Carbon metabolism
OCG05938	K00030	map01210	2-Oxocarboxylic acid metabolism
OCG05938	K00030	map01230	Biosynthesis of amino acids
OCG05938	K02899	map03010	Ribosome
OCG05945	K03107	map03060	Protein export
OCG05947	K11142	map00330	Arginine and proline metabolism
OCG05947	K11142	map00480	Glutathione metabolism
OCG05947	K11142	map01100	Metabolic pathways
OCG05956	K13352	map04146	Peroxisome
OCG05957	K05658	map02010	ABC transporters
OCG05961	K08498	map04130	SNARE interactions in vesicular transport
OCG05961	K08499	map04130	SNARE interactions in vesicular transport
OCG05969	K02183	map04070	Phosphatidylinositol signaling system
OCG05974	K16196	map04138	Autophagy - yeast
OCG05974	K16196	map04141	Protein processing in endoplasmic reticulum
OCG05980	K00326	map00520	Amino sugar and nucleotide sugar metabolism
OCG05981	K01514	map00230	Purine metabolism
OCG05981	K01514	map01100	Metabolic pathways
OCG05985	K14538	map03008	Ribosome biogenesis in eukaryotes
OCG05988	K07542	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
OCG05988	K07542	map01100	Metabolic pathways
OCG05989	K02619	map00790	Folate biosynthesis
OCG05989	K02619	map01240	Biosynthesis of cofactors
OCG05993	K00287	map00670	One carbon pool by folate
OCG05993	K00287	map00790	Folate biosynthesis
OCG05993	K00287	map01100	Metabolic pathways
OCG05993	K00287	map01240	Biosynthesis of cofactors
OCG05995	K17765	map04139	Mitophagy - yeast
OCG05996	K00505	map00350	Tyrosine metabolism
OCG05996	K00505	map01100	Metabolic pathways
OCG05996	K00505	map01110	Biosynthesis of secondary metabolites
OCG06000	K13288	map03008	Ribosome biogenesis in eukaryotes
OCG06001	K19806	map04011	MAPK signaling pathway - yeast
OCG06004	K03132	map03022	Basal transcription factors
OCG06013	K00902	map00510	N-Glycan biosynthesis
OCG06013	K00902	map01100	Metabolic pathways
OCG06017	K01593	map00350	Tyrosine metabolism
OCG06017	K01593	map00360	Phenylalanine metabolism
OCG06017	K01593	map00380	Tryptophan metabolism
OCG06017	K01593	map01100	Metabolic pathways
OCG06017	K01593	map01110	Biosynthesis of secondary metabolites
OCG06022	K05658	map02010	ABC transporters
OCG06023	K18723	map03013	Nucleocytoplasmic transport
OCG06023	K18723	map03015	mRNA surveillance pathway
OCG06029	K02938	map03010	Ribosome
OCG06035	K10739	map03030	DNA replication
OCG06035	K10739	map03420	Nucleotide excision repair
OCG06035	K10739	map03430	Mismatch repair
OCG06035	K10739	map03440	Homologous recombination
OCG06036	K20457	map00790	Folate biosynthesis
OCG06036	K20457	map01100	Metabolic pathways
OCG06036	K20457	map01240	Biosynthesis of cofactors
OCG06037	K14023	map04141	Protein processing in endoplasmic reticulum
OCG06037	K14026	map04141	Protein processing in endoplasmic reticulum
OCG06038	K10846	map03420	Nucleotide excision repair
OCG06045	K10901	map03440	Homologous recombination
OCG06047	K11091	map03040	Spliceosome
OCG06047	K11094	map03040	Spliceosome
OCG06048	K07178	map03008	Ribosome biogenesis in eukaryotes
OCG06050	K02892	map03010	Ribosome
OCG06052	K12600	map03018	RNA degradation
OCG06063	K00415	map00190	Oxidative phosphorylation
OCG06063	K00415	map01100	Metabolic pathways
OCG06064	K00049	map00260	Glycine, serine and threonine metabolism
OCG06064	K00049	map00620	Pyruvate metabolism
OCG06064	K00049	map00630	Glyoxylate and dicarboxylate metabolism
OCG06064	K00049	map01100	Metabolic pathways
OCG06064	K00049	map01110	Biosynthesis of secondary metabolites
OCG06071	K05291	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
OCG06071	K05291	map01100	Metabolic pathways
OCG06074	K01426	map00330	Arginine and proline metabolism
OCG06074	K01426	map00360	Phenylalanine metabolism
OCG06074	K01426	map00380	Tryptophan metabolism
OCG06074	K01426	map01100	Metabolic pathways
OCG06074	K12190	map04144	Endocytosis
OCG06080	K13336	map04146	Peroxisome
OCG06088	K15542	map03015	mRNA surveillance pathway
OCG06096	K20195	map04138	Autophagy - yeast
OCG06097	K14650	map03022	Basal transcription factors
OCG06099	K14552	map03008	Ribosome biogenesis in eukaryotes
OCG06100	K19708	map04139	Mitophagy - yeast
OCG06101	K02606	map04111	Cell cycle - yeast
OCG06101	K02606	map04113	Meiosis - yeast
OCG06102	K01893	map00970	Aminoacyl-tRNA biosynthesis
OCG06103	K03964	map00190	Oxidative phosphorylation
OCG06103	K03964	map01100	Metabolic pathways
OCG06105	K00652	map00780	Biotin metabolism
OCG06105	K00652	map01100	Metabolic pathways
OCG06105	K00652	map01240	Biosynthesis of cofactors
OCG06110	K06647	map04111	Cell cycle - yeast
OCG06114	K12868	map03040	Spliceosome
OCG06115	K12763	map04113	Meiosis - yeast
OCG06118	K05529	map00513	Various types of N-glycan biosynthesis
OCG06118	K05529	map01100	Metabolic pathways
OCG06128	K00412	map00190	Oxidative phosphorylation
OCG06128	K00412	map01100	Metabolic pathways
OCG06129	K03881	map00190	Oxidative phosphorylation
OCG06129	K03881	map01100	Metabolic pathways
OCG06130	K08712	map02010	ABC transporters
OCG06142	K03130	map03022	Basal transcription factors
OCG06151	K19800	map04138	Autophagy - yeast
OCG06151	K19800	map04213	Longevity regulating pathway - multiple species
OCG06154	K19849	map04011	MAPK signaling pathway - yeast
OCG06161	K18724	map03013	Nucleocytoplasmic transport
OCG06163	K05310	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
OCG06163	K05310	map01100	Metabolic pathways
OCG06186	K02272	map00190	Oxidative phosphorylation
OCG06186	K02272	map01100	Metabolic pathways
OCG06190	K10745	map03030	DNA replication
OCG06193	K10364	map04144	Endocytosis
OCG06206	K01724	map00790	Folate biosynthesis
OCG06206	K01724	map01100	Metabolic pathways
OCG06207	K00940	map00230	Purine metabolism
OCG06207	K00940	map00240	Pyrimidine metabolism
OCG06207	K00940	map01100	Metabolic pathways
OCG06207	K00940	map01110	Biosynthesis of secondary metabolites
OCG06207	K00940	map01232	Nucleotide metabolism
OCG06207	K00940	map01240	Biosynthesis of cofactors
OCG06209	K12350	map00600	Sphingolipid metabolism
OCG06209	K12350	map01100	Metabolic pathways
OCG06210	K12350	map00600	Sphingolipid metabolism
OCG06210	K12350	map01100	Metabolic pathways
OCG06217	K08504	map04130	SNARE interactions in vesicular transport
OCG06219	K05294	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
OCG06219	K05294	map01100	Metabolic pathways
OCG06224	K00698	map00520	Amino sugar and nucleotide sugar metabolism
OCG06224	K00698	map01100	Metabolic pathways
OCG06228	K06678	map04111	Cell cycle - yeast
OCG06229	K20182	map04138	Autophagy - yeast
OCG06230	K02974	map03010	Ribosome
OCG06234	K14301	map03013	Nucleocytoplasmic transport
OCG06235	K01113	map00790	Folate biosynthesis
OCG06235	K01113	map01100	Metabolic pathways
OCG06235	K01113	map01240	Biosynthesis of cofactors
OCG06238	K03217	map03060	Protein export
OCG06245	K14312	map03013	Nucleocytoplasmic transport
OCG06248	K20223	map03013	Nucleocytoplasmic transport
OCG06253	K00698	map00520	Amino sugar and nucleotide sugar metabolism
OCG06253	K00698	map01100	Metabolic pathways
OCG06258	K01907	map00280	Valine, leucine and isoleucine degradation
OCG06258	K01907	map00650	Butanoate metabolism
OCG06258	K01907	map01100	Metabolic pathways
OCG06260	K14402	map03015	mRNA surveillance pathway
OCG06262	K03349	map04111	Cell cycle - yeast
OCG06262	K03349	map04113	Meiosis - yeast
OCG06262	K03349	map04120	Ubiquitin mediated proteolysis
OCG06263	K20237	map04392	Hippo signaling pathway - multiple species
OCG06269	K01719	map00860	Porphyrin metabolism
OCG06269	K01719	map01100	Metabolic pathways
OCG06269	K01719	map01110	Biosynthesis of secondary metabolites
OCG06269	K01719	map01240	Biosynthesis of cofactors
OCG06275	K10578	map04120	Ubiquitin mediated proteolysis
OCG06275	K10578	map04141	Protein processing in endoplasmic reticulum
OCG06276	K00915	map00562	Inositol phosphate metabolism
OCG06276	K00915	map01100	Metabolic pathways
OCG06276	K00915	map04070	Phosphatidylinositol signaling system
OCG06276	K00915	map04138	Autophagy - yeast
OCG06276	K14399	map03015	mRNA surveillance pathway
OCG06279	K13989	map04141	Protein processing in endoplasmic reticulum
OCG06283	K00306	map00260	Glycine, serine and threonine metabolism
OCG06283	K00306	map00310	Lysine degradation
OCG06283	K00306	map01100	Metabolic pathways
OCG06283	K00306	map04146	Peroxisome
OCG06295	K01626	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
OCG06295	K01626	map01100	Metabolic pathways
OCG06295	K01626	map01110	Biosynthesis of secondary metabolites
OCG06295	K01626	map01230	Biosynthesis of amino acids
OCG06298	K01078	map00730	Thiamine metabolism
OCG06298	K01078	map00740	Riboflavin metabolism
OCG06298	K01078	map01100	Metabolic pathways
OCG06299	K01078	map00730	Thiamine metabolism
OCG06299	K01078	map00740	Riboflavin metabolism
OCG06299	K01078	map01100	Metabolic pathways
OCG06304	K12188	map04144	Endocytosis
OCG06310	K00823	map00250	Alanine, aspartate and glutamate metabolism
OCG06310	K00823	map00410	beta-Alanine metabolism
OCG06310	K00823	map00640	Propanoate metabolism
OCG06310	K00823	map00650	Butanoate metabolism
OCG06310	K00823	map01100	Metabolic pathways
OCG06314	K12881	map03013	Nucleocytoplasmic transport
OCG06314	K12881	map03015	mRNA surveillance pathway
OCG06314	K12881	map03040	Spliceosome
OCG06315	K01648	map00020	Citrate cycle (TCA cycle)
OCG06315	K01648	map01100	Metabolic pathways
OCG06315	K01648	map01110	Biosynthesis of secondary metabolites
OCG06325	K03137	map03022	Basal transcription factors
OCG06331	K08502	map04130	SNARE interactions in vesicular transport
OCG06331	K08502	map04138	Autophagy - yeast
OCG06339	K00645	map00061	Fatty acid biosynthesis
OCG06339	K00645	map01100	Metabolic pathways
OCG06339	K00645	map01110	Biosynthesis of secondary metabolites
OCG06339	K00645	map01212	Fatty acid metabolism
OCG06342	K08330	map04136	Autophagy - other
OCG06342	K08330	map04138	Autophagy - yeast
OCG06342	K08330	map04139	Mitophagy - yeast
OCG06346	K08054	map04141	Protein processing in endoplasmic reticulum
OCG06346	K08054	map04145	Phagosome
OCG06350	K00943	map00240	Pyrimidine metabolism
OCG06350	K00943	map01100	Metabolic pathways
OCG06350	K00943	map01232	Nucleotide metabolism
OCG06356	K10881	map03050	Proteasome
OCG06356	K10881	map03440	Homologous recombination
OCG06357	K12195	map03250	Viral life cycle - HIV-1
OCG06357	K12195	map04144	Endocytosis
OCG06359	K05275	map00750	Vitamin B6 metabolism
OCG06359	K05275	map01100	Metabolic pathways
OCG06361	K02830	map04111	Cell cycle - yeast
OCG06361	K02830	map04113	Meiosis - yeast
OCG06362	K00988	map00230	Purine metabolism
OCG06362	K00988	map00920	Sulfur metabolism
OCG06362	K00988	map01100	Metabolic pathways
OCG06363	K03539	map03008	Ribosome biogenesis in eukaryotes
OCG06368	K02272	map00190	Oxidative phosphorylation
OCG06368	K02272	map01100	Metabolic pathways
OCG06384	K10747	map03030	DNA replication
OCG06384	K10747	map03410	Base excision repair
OCG06384	K10747	map03420	Nucleotide excision repair
OCG06384	K10747	map03430	Mismatch repair
OCG06395	K19785	map00760	Nicotinate and nicotinamide metabolism
OCG06395	K19785	map01100	Metabolic pathways
OCG06400	K07252	map00510	N-Glycan biosynthesis
OCG06400	K07252	map01100	Metabolic pathways
OCG06400	K14655	map00740	Riboflavin metabolism
OCG06400	K14655	map01100	Metabolic pathways
OCG06400	K14655	map01240	Biosynthesis of cofactors
OCG06401	K01046	map00561	Glycerolipid metabolism
OCG06401	K01046	map01100	Metabolic pathways
OCG06401	K02152	map00190	Oxidative phosphorylation
OCG06401	K02152	map01100	Metabolic pathways
OCG06401	K02152	map04145	Phagosome
OCG06404	K01908	map00640	Propanoate metabolism
OCG06404	K01908	map01100	Metabolic pathways
OCG06419	K05605	map00280	Valine, leucine and isoleucine degradation
OCG06419	K05605	map00410	beta-Alanine metabolism
OCG06419	K05605	map00640	Propanoate metabolism
OCG06419	K05605	map01100	Metabolic pathways
OCG06419	K05605	map01200	Carbon metabolism
OCG06427	K13299	map00480	Glutathione metabolism
OCG06427	K13299	map01100	Metabolic pathways
OCG06427	K13299	map04146	Peroxisome
OCG06432	K08288	map04141	Protein processing in endoplasmic reticulum
OCG06435	K01598	map00770	Pantothenate and CoA biosynthesis
OCG06435	K01598	map01100	Metabolic pathways
OCG06435	K01598	map01240	Biosynthesis of cofactors
OCG06437	K12493	map04144	Endocytosis
OCG06439	K02961	map03010	Ribosome
OCG06441	K03512	map03410	Base excision repair
OCG06441	K03512	map03450	Non-homologous end-joining
OCG06441	K03513	map03450	Non-homologous end-joining
OCG06441	K10981	map03450	Non-homologous end-joining
OCG06445	K02902	map03010	Ribosome
OCG06450	K10772	map03410	Base excision repair
OCG06451	K12761	map04113	Meiosis - yeast
OCG06451	K12761	map04138	Autophagy - yeast
OCG06463	K07941	map04144	Endocytosis
OCG06465	K19718	map04139	Mitophagy - yeast
OCG06467	K09584	map04141	Protein processing in endoplasmic reticulum
OCG06475	K03801	map00785	Lipoic acid metabolism
OCG06475	K03801	map01100	Metabolic pathways
OCG06475	K03801	map01240	Biosynthesis of cofactors
OCG06477	K13343	map04146	Peroxisome
OCG06488	K10873	map03440	Homologous recombination
OCG06490	K19730	map04136	Autophagy - other
OCG06497	K02604	map04111	Cell cycle - yeast
OCG06497	K02604	map04113	Meiosis - yeast
OCG06498	K02879	map03010	Ribosome
OCG06500	K12200	map03250	Viral life cycle - HIV-1
OCG06500	K12200	map04144	Endocytosis
OCG06503	K03456	map03015	mRNA surveillance pathway
OCG06503	K03456	map04111	Cell cycle - yeast
OCG06503	K03456	map04113	Meiosis - yeast
OCG06515	K09486	map04141	Protein processing in endoplasmic reticulum
OCG06535	K02967	map03010	Ribosome
OCG06543	K19815	map04011	MAPK signaling pathway - yeast
OCG06546	K18722	map03013	Nucleocytoplasmic transport
OCG06561	K06654	map04111	Cell cycle - yeast
OCG06570	K19717	map04139	Mitophagy - yeast
OCG06582	K02128	map00190	Oxidative phosphorylation
OCG06582	K02128	map01100	Metabolic pathways
OCG06582	K03880	map00190	Oxidative phosphorylation
OCG06582	K03880	map01100	Metabolic pathways
OCG06592	K03004	map03020	RNA polymerase
OCG06592	K03506	map03030	DNA replication
OCG06592	K03506	map03410	Base excision repair
OCG06592	K03506	map03420	Nucleotide excision repair
OCG06593	K19800	map04138	Autophagy - yeast
OCG06593	K19800	map04213	Longevity regulating pathway - multiple species
OCG06599	K11226	map04011	MAPK signaling pathway - yeast
OCG06601	K08486	map04130	SNARE interactions in vesicular transport
OCG06603	K03885	map00190	Oxidative phosphorylation
OCG06603	K03885	map01100	Metabolic pathways
OCG06608	K08770	map04120	Ubiquitin mediated proteolysis
OCG06609	K20237	map04392	Hippo signaling pathway - multiple species
OCG06613	K03801	map00785	Lipoic acid metabolism
OCG06613	K03801	map01100	Metabolic pathways
OCG06613	K03801	map01240	Biosynthesis of cofactors
OCG06617	K01509	map00230	Purine metabolism
OCG06617	K01509	map01100	Metabolic pathways
OCG06617	K01509	map01110	Biosynthesis of secondary metabolites
OCG06617	K01509	map01232	Nucleotide metabolism
OCG06617	K05673	map02010	ABC transporters
OCG06617	K07374	map04145	Phagosome
OCG06618	K16369	map00564	Glycerophospholipid metabolism
OCG06618	K16369	map01100	Metabolic pathways
OCG06618	K16369	map01110	Biosynthesis of secondary metabolites
OCG06621	K14306	map03013	Nucleocytoplasmic transport
OCG06622	K01210	map00500	Starch and sucrose metabolism
OCG06622	K01210	map01100	Metabolic pathways
OCG06623	K06654	map04111	Cell cycle - yeast
OCG06625	K12772	map04113	Meiosis - yeast
OCG06628	K14549	map03008	Ribosome biogenesis in eukaryotes
OCG06639	K12661	map00051	Fructose and mannose metabolism
OCG06639	K12661	map01100	Metabolic pathways
OCG06645	K12670	map00510	N-Glycan biosynthesis
OCG06645	K12670	map00513	Various types of N-glycan biosynthesis
OCG06645	K12670	map01100	Metabolic pathways
OCG06645	K12670	map04141	Protein processing in endoplasmic reticulum
OCG06649	K10599	map03040	Spliceosome
OCG06649	K10599	map04120	Ubiquitin mediated proteolysis
OCG06656	K02269	map00190	Oxidative phosphorylation
OCG06656	K02269	map01100	Metabolic pathways
OCG06660	K00637	map00100	Steroid biosynthesis
OCG06660	K11155	map00561	Glycerolipid metabolism
OCG06660	K11155	map01100	Metabolic pathways
OCG06661	K12829	map03040	Spliceosome
OCG06662	K12829	map03040	Spliceosome
OCG06667	K04705	map04144	Endocytosis
OCG06669	K15541	map03015	mRNA surveillance pathway
OCG06671	K08711	map02010	ABC transporters
OCG06671	K08712	map02010	ABC transporters
OCG06672	K03959	map00190	Oxidative phosphorylation
OCG06672	K03959	map01100	Metabolic pathways
OCG06673	K12817	map03040	Spliceosome
OCG06674	K12586	map03018	RNA degradation
OCG06678	K03009	map03020	RNA polymerase
OCG06680	K12872	map03040	Spliceosome
OCG06681	K01117	map00600	Sphingolipid metabolism
OCG06681	K01117	map01100	Metabolic pathways
OCG06682	K07512	map00061	Fatty acid biosynthesis
OCG06682	K07512	map00062	Fatty acid elongation
OCG06682	K07512	map01100	Metabolic pathways
OCG06682	K07512	map01212	Fatty acid metabolism
OCG06684	K03004	map03020	RNA polymerase
OCG06686	K02993	map03010	Ribosome
OCG06692	K00004	map00650	Butanoate metabolism
OCG06692	K00004	map01110	Biosynthesis of secondary metabolites
OCG06695	K14572	map03008	Ribosome biogenesis in eukaryotes
OCG06700	K12855	map03040	Spliceosome
OCG06701	K12893	map03040	Spliceosome
OCG06701	K14651	map03022	Basal transcription factors
OCG06703	K12193	map04144	Endocytosis
OCG06707	K10245	map00062	Fatty acid elongation
OCG06707	K10245	map01040	Biosynthesis of unsaturated fatty acids
OCG06707	K10245	map01100	Metabolic pathways
OCG06707	K10245	map01110	Biosynthesis of secondary metabolites
OCG06707	K10245	map01212	Fatty acid metabolism
OCG06707	K10246	map00062	Fatty acid elongation
OCG06707	K10246	map01040	Biosynthesis of unsaturated fatty acids
OCG06707	K10246	map01100	Metabolic pathways
OCG06707	K10246	map01110	Biosynthesis of secondary metabolites
OCG06707	K10246	map01212	Fatty acid metabolism
OCG06709	K01068	map00062	Fatty acid elongation
OCG06709	K01068	map01040	Biosynthesis of unsaturated fatty acids
OCG06709	K01068	map01100	Metabolic pathways
OCG06709	K01068	map01110	Biosynthesis of secondary metabolites
OCG06709	K11992	map01100	Metabolic pathways
OCG06709	K11992	map04146	Peroxisome
OCG06710	K01052	map00100	Steroid biosynthesis
OCG06715	K08269	map04136	Autophagy - other
OCG06715	K08269	map04138	Autophagy - yeast
OCG06715	K08269	map04139	Mitophagy - yeast
OCG06720	K11426	map00310	Lysine degradation
OCG06720	K11426	map01100	Metabolic pathways
OCG06728	K06687	map04111	Cell cycle - yeast
OCG06729	K00059	map00061	Fatty acid biosynthesis
OCG06729	K00059	map00780	Biotin metabolism
OCG06729	K00059	map01100	Metabolic pathways
OCG06729	K00059	map01110	Biosynthesis of secondary metabolites
OCG06729	K00059	map01212	Fatty acid metabolism
OCG06729	K00059	map01240	Biosynthesis of cofactors
OCG06737	K19806	map04011	MAPK signaling pathway - yeast
OCG06743	K01120	map00230	Purine metabolism
OCG06743	K01120	map01100	Metabolic pathways
OCG06747	K12373	map00511	Other glycan degradation
OCG06747	K12373	map00513	Various types of N-glycan biosynthesis
OCG06747	K12373	map00520	Amino sugar and nucleotide sugar metabolism
OCG06747	K12373	map00531	Glycosaminoglycan degradation
OCG06747	K12373	map00600	Sphingolipid metabolism
OCG06747	K12373	map00604	Glycosphingolipid biosynthesis - ganglio series
OCG06747	K12373	map01100	Metabolic pathways
OCG06753	K14402	map03015	mRNA surveillance pathway
OCG06754	K14528	map03008	Ribosome biogenesis in eukaryotes
OCG06755	K09051	map04011	MAPK signaling pathway - yeast
OCG06759	K09243	map04113	Meiosis - yeast
OCG06759	K09243	map04138	Autophagy - yeast
OCG06759	K09243	map04139	Mitophagy - yeast
OCG06761	K02328	map03030	DNA replication
OCG06761	K02328	map03410	Base excision repair
OCG06761	K02328	map03420	Nucleotide excision repair
OCG06761	K02328	map03430	Mismatch repair
OCG06761	K02328	map03440	Homologous recombination
OCG06765	K18721	map03013	Nucleocytoplasmic transport
OCG06767	K12832	map03040	Spliceosome
OCG06783	K02143	map00190	Oxidative phosphorylation
OCG06783	K02143	map01100	Metabolic pathways
OCG06786	K12581	map03018	RNA degradation
OCG06788	K13711	map00562	Inositol phosphate metabolism
OCG06788	K13711	map01100	Metabolic pathways
OCG06788	K13711	map04070	Phosphatidylinositol signaling system
OCG06789	K03114	map04011	MAPK signaling pathway - yeast
OCG06789	K03114	map04111	Cell cycle - yeast
OCG06789	K03114	map04113	Meiosis - yeast
OCG06791	K03127	map03022	Basal transcription factors
OCG06792	K03126	map03022	Basal transcription factors
OCG06810	K01078	map00730	Thiamine metabolism
OCG06810	K01078	map00740	Riboflavin metabolism
OCG06810	K01078	map01100	Metabolic pathways
OCG06811	K20180	map04138	Autophagy - yeast
OCG06812	K12614	map03018	RNA degradation
OCG06814	K22133	map00630	Glyoxylate and dicarboxylate metabolism
OCG06814	K22133	map01100	Metabolic pathways
OCG06815	K02890	map03010	Ribosome
OCG06818	K14288	map03013	Nucleocytoplasmic transport
OCG06824	K11519	map04141	Protein processing in endoplasmic reticulum
OCG06824	K13989	map04141	Protein processing in endoplasmic reticulum
OCG06827	K12861	map03040	Spliceosome
OCG06832	K01114	map00562	Inositol phosphate metabolism
OCG06832	K01114	map00564	Glycerophospholipid metabolism
OCG06832	K01114	map00565	Ether lipid metabolism
OCG06832	K01114	map01100	Metabolic pathways
OCG06832	K01114	map01110	Biosynthesis of secondary metabolites
OCG06837	K00818	map00220	Arginine biosynthesis
OCG06837	K00818	map01100	Metabolic pathways
OCG06837	K00818	map01110	Biosynthesis of secondary metabolites
OCG06837	K00818	map01210	2-Oxocarboxylic acid metabolism
OCG06837	K00818	map01230	Biosynthesis of amino acids
OCG06841	K08515	map04130	SNARE interactions in vesicular transport
OCG06842	K15053	map04144	Endocytosis
OCG06846	K08991	map03440	Homologous recombination
OCG06856	K05293	map00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
OCG06856	K05293	map01100	Metabolic pathways
OCG06858	K02178	map04111	Cell cycle - yeast
OCG06858	K02178	map04113	Meiosis - yeast
OCG06858	K06680	map04111	Cell cycle - yeast
OCG06864	K09648	map03060	Protein export
OCG06866	K01858	map00562	Inositol phosphate metabolism
OCG06866	K01858	map01100	Metabolic pathways
OCG06866	K01858	map01110	Biosynthesis of secondary metabolites
OCG06867	K10875	map03440	Homologous recombination
OCG06872	K09567	map03040	Spliceosome
OCG06873	K13950	map00790	Folate biosynthesis
OCG06873	K13950	map01240	Biosynthesis of cofactors
OCG06876	K18551	map00760	Nicotinate and nicotinamide metabolism
OCG06876	K18551	map01100	Metabolic pathways
OCG06880	K01637	map00630	Glyoxylate and dicarboxylate metabolism
OCG06880	K01637	map01100	Metabolic pathways
